Year,Month,State,Sale_RES,Sale_COM,Sale_IND,Sale_OTH,Sale_ALL,Price_RES,Price_COM,Price_IND,Price_OTH,Price_ALL,Rev_RES,Rev_COM,Rev_IND,Rev_OTH,Rev_ALL,Cus_RES,Cus_COM,Cus_IND,Cus_OTH,Cus_ALL,Heating_deg_days,Cooling_deg_days,Pop,Income,UR,GSP,CPI,Regions,Year-Month,Sale_ALL_no_OTH
1990,2,CO,925.32,1090.14,526.88,59.2,2601.53,6.47,5.12,4.1,6.59,5.43,59.87,55.78,21.6,3.9,141.14,1392215.0,198584.0,1845.0,20092.0,1612736.0,1038.0,0.0,3296.652,65348.5,5.3,74206.0,132.8,Mountain ,1990-02-01,2542.34
1990,2,CT,937.94,848.25,519.8,32.72,2338.72,9.96,9.12,7.5,12.32,9.14,93.43,77.34,38.97,4.03,213.77,1301859.0,125530.0,4734.0,4704.0,1436827.0,888.0,0.0,3281.878,86879.2,4.9,98976.0,132.8,New England ,1990-02-01,2305.99
1990,2,DC,120.48,399.53,224.48,25.78,770.27,5.58,5.43,4.26,5.89,5.13,6.73,21.71,9.56,1.52,39.52,191969.0,26537.0,164.0,36.0,218706.0,647.0,0.0,602.496,15743.5,5.5,,132.8,South Atlantic ,1990-02-01,744.49
1990,2,DE,225.23,180.15,262.73,4.19,672.31,7.87,6.47,4.34,10.21,6.13,17.72,11.66,11.41,0.43,41.23,282827.0,30883.0,618.0,756.0,315084.0,657.0,0.0,667.6030000000002,14301.5,3.8,20118.0,132.8,South Atlantic ,1990-02-01,668.11
1990,2,FL,4732.7,3858.26,1356.22,340.82,10288.0,7.84,6.67,4.96,6.72,6.98,371.02,257.38,67.29,22.9,718.59,5849276.0,705021.0,22933.0,86500.0,6663730.0,72.0,164.0,12989.956,256748.4,5.8,257242.0,132.8,South Atlantic ,1990-02-01,9947.18
1990,2,GA,1917.56,1482.16,2018.83,99.84,5518.39,7.07,7.58,4.59,7.82,6.31,135.51,112.34,92.68,7.81,348.33,2645481.0,294759.0,15082.0,20244.0,2975566.0,355.0,16.0,6492.3319999999985,115658.3,5.1,139526.0,132.8,South Atlantic ,1990-02-01,5418.55
1990,2,HI,179.0,157.23,268.1,4.65,608.98,9.9,9.95,7.26,9.03,8.74,17.72,15.64,19.45,0.42,53.23,316459.0,47997.0,705.0,1537.0,366698.0,,,1110.275,24725.6,2.8,31898.0,132.8,Pacific Noncontiguous ,1990-02-01,604.33
1990,2,IA,856.18,489.68,877.71,64.94,2288.51,7.2,5.9,3.74,5.91,5.56,61.67,28.88,32.84,3.84,127.23,1137688.0,157186.0,3773.0,11757.0,1310404.0,1035.0,0.0,2773.703,48856.4,4.3,55876.0,132.8,West North Central ,1990-02-01,2223.5699999999997
1990,2,ID,546.4,271.32,526.27,4.51,1348.49,4.79,4.63,2.58,5.76,3.9,26.19,12.57,13.59,0.26,52.61,401443.0,69840.0,4462.0,3385.0,479130.0,1022.0,0.0,1009.674,16277.2,5.2,17769.0,132.8,Mountain ,1990-02-01,1343.99
1990,2,IL,2738.91,2550.24,3142.51,684.16,9115.81,8.64,7.28,5.11,6.36,6.87,236.66,185.65,160.73,43.52,626.56,4367769.0,442990.0,4574.0,19656.0,4834989.0,917.0,0.0,11421.999,239993.2,6.1,277241.0,132.8,East North Central ,1990-02-01,8431.66
1990,2,IN,1803.01,1186.33,2829.9,52.88,5872.12,6.69,5.99,4.04,7.75,5.28,120.67,71.03,114.39,4.1,310.18,2191036.0,242457.0,15429.0,8794.0,2457716.0,813.0,0.0,5542.974,98215.6,5.3,110084.0,132.8,East North Central ,1990-02-01,5819.24
1990,2,KS,680.19,677.3,648.07,27.33,2032.89,7.26,6.66,5.02,7.52,6.35,49.36,45.1,32.5,2.06,129.02,1013671.0,156287.0,12708.0,11563.0,1194229.0,768.0,0.0,2475.27,45547.9,4.1,51274.0,132.8,West North Central ,1990-02-01,2005.5600000000002
1990,2,KY,1356.31,679.15,2828.25,189.52,5053.22,5.66,5.36,3.56,4.59,4.4,76.71,36.4,100.76,8.7,222.56,1480107.0,186216.0,8434.0,17678.0,1692435.0,581.0,3.0,3684.526,57308.7,5.7,67508.0,132.8,East South Central ,1990-02-01,4863.709999999999
1990,2,LA,1210.73,978.33,1972.49,246.54,4408.09,7.19,7.35,4.46,6.7,5.98,87.0,71.89,88.02,16.51,263.4,1624920.0,188720.0,14488.0,19155.0,1847283.0,218.0,44.0,4209.972,64402.2,5.8,93591.0,132.8,West South Central ,1990-02-01,4161.55
1990,2,MA,1465.36,1529.33,827.73,100.09,3922.5,9.54,8.27,7.8,10.5,8.7,139.84,126.49,64.6,10.5,341.44,2319946.0,287198.0,13880.0,14333.0,2635357.0,954.0,0.0,6005.53,139277.4,5.3,158903.0,132.8,New England ,1990-02-01,3822.42
1990,2,MD,1613.53,819.18,1588.24,55.49,4076.45,6.41,5.59,4.26,7.87,5.43,103.45,45.82,67.72,4.37,221.36,1731972.0,182923.0,10648.0,1182.0,1926725.0,647.0,0.0,4786.962,110704.7,3.7,113723.0,132.8,South Atlantic ,1990-02-01,4020.95
1990,2,ME,384.57,235.19,389.51,15.46,1024.72,9.27,9.0,6.84,10.54,8.31,35.67,21.16,26.65,1.63,85.11,568073.0,67236.0,2845.0,18854.0,657008.0,1246.0,0.0,1228.609,21905.7,4.5,23343.0,132.8,New England ,1990-02-01,1009.27
1990,2,MI,2086.18,1597.94,2743.7,113.24,6541.06,7.71,8.1,5.81,9.85,7.04,160.77,129.46,159.28,11.15,460.65,3661732.0,384526.0,14653.0,17310.0,4078221.0,1046.0,0.0,9290.144,176975.4,7.6,189748.0,132.8,East North Central ,1990-02-01,6427.82
1990,2,MN,1320.7,651.66,1866.32,56.35,3895.04,6.44,5.74,4.05,6.49,5.18,85.08,37.4,75.63,3.66,201.77,1755161.0,196379.0,9581.0,24301.0,1985422.0,1305.0,0.0,4377.709,87584.8,4.6,100327.0,132.8,West North Central ,1990-02-01,3838.68
1990,2,MO,1770.12,1327.75,909.04,65.63,4072.55,6.73,6.17,4.87,6.89,6.13,119.07,81.97,44.28,4.52,249.84,2143649.0,255089.0,10372.0,14382.0,2423492.0,734.0,0.0,5115.183,91682.6,5.6,104097.0,132.8,West North Central ,1990-02-01,4006.91
1990,2,MS,848.42,462.63,929.64,51.87,2292.56,6.8,7.35,4.7,8.18,6.09,57.68,34.0,43.66,4.24,139.58,998320.0,144114.0,5841.0,15789.0,1164064.0,302.0,26.0,2571.801,34288.6,7.5,38768.0,132.8,East South Central ,1990-02-01,2240.69
1990,2,MT,328.73,228.51,488.57,44.02,1089.83,5.82,4.89,3.1,3.82,4.32,19.12,11.17,15.17,1.68,47.13,342822.0,56633.0,3215.0,10174.0,412844.0,1146.0,0.0,798.079,12314.5,5.4,13417.0,132.8,Mountain ,1990-02-01,1045.81
1990,2,NC,2656.36,1776.72,2477.98,130.35,7041.41,7.67,6.49,4.6,7.02,6.28,203.62,115.38,113.86,9.15,442.01,2801451.0,388208.0,14687.0,28086.0,3232432.0,440.0,4.0,6642.46,1.47,3.5,140272.0,132.8,South Atlantic ,1990-02-01,6911.06
1990,2,ND,327.36,169.2,157.14,43.45,697.15,5.68,6.06,4.64,3.28,5.39,18.58,10.25,7.28,1.43,37.55,262529.0,45370.0,2430.0,5038.0,315367.0,1342.0,0.0,635.9730000000002,10224.9,4.1,11480.0,132.8,West North Central ,1990-02-01,653.7
1990,2,NE,540.29,383.29,347.27,86.16,1357.01,5.93,5.81,4.36,5.74,5.48,32.05,22.29,15.14,4.94,74.41,649256.0,104898.0,5458.0,39855.0,799467.0,972.0,0.0,1577.215,29184.6,2.4,33776.0,132.8,West North Central ,1990-02-01,1270.85
1990,2,NH,335.92,175.18,296.16,8.35,815.62,10.25,9.47,7.44,13.06,9.09,34.44,16.59,22.05,1.09,74.16,485545.0,72114.0,1627.0,5107.0,564393.0,1156.0,0.0,1109.405,23048.3,5.0,23784.0,132.8,New England ,1990-02-01,807.26
1990,2,NJ,1528.44,2048.51,1208.64,40.66,4826.26,9.82,8.65,7.14,15.88,8.7,150.06,177.23,86.36,6.46,420.1,2898533.0,386093.0,12124.0,9109.0,3305859.0,768.0,0.0,7740.23,191850.9,4.6,214845.0,132.8,Middle Atlantic ,1990-02-01,4785.59
1990,2,NM,310.69,338.1,348.45,98.14,1095.37,8.55,7.79,4.99,5.76,6.93,26.56,26.34,17.39,5.66,75.95,575602.0,84555.0,4964.0,10041.0,675162.0,764.0,0.0,1516.616,23069.1,6.5,26871.0,132.8,Mountain ,1990-02-01,997.24
1990,2,NV,386.65,290.41,473.57,40.17,1190.81,6.35,6.18,4.14,4.36,5.36,24.54,17.94,19.62,1.75,63.86,487491.0,72146.0,785.0,1693.0,562115.0,653.0,0.0,1215.97,24821.0,4.4,31820.0,132.8,Mountain ,1990-02-01,1150.63
1990,2,NY,3494.57,3759.42,2486.65,1022.9,10763.54,11.12,10.0,5.62,7.24,9.09,388.48,376.1,139.82,74.04,978.44,6265737.0,818952.0,11874.0,29853.0,7126416.0,922.0,0.0,17963.568,432177.2,5.2,503608.0,132.8,Middle Atlantic ,1990-02-01,9740.64
1990,2,OH,3296.91,2328.88,5511.65,354.84,11492.29,7.65,7.28,4.05,6.03,5.8,252.31,169.51,222.99,21.4,666.21,4211924.0,453321.0,31255.0,18736.0,4715236.0,816.0,0.0,10838.133999999998,203214.9,5.6,228343.0,132.8,East North Central ,1990-02-01,11137.439999999999
1990,2,OK,1144.24,836.06,893.75,145.16,3019.21,6.34,5.27,3.38,4.68,5.09,72.57,44.04,30.16,6.8,153.57,1507884.0,222492.0,14877.0,12822.0,1758075.0,555.0,1.0,3140.237,50841.8,5.5,57709.0,132.8,West South Central ,1990-02-01,2874.05
1990,2,OR,1683.21,954.13,1230.44,45.39,3913.18,4.61,4.87,3.29,5.74,4.27,77.61,46.42,40.52,2.6,167.16,1173617.0,166965.0,6922.0,9988.0,1357492.0,758.0,0.0,2852.309,51780.3,5.1,57275.0,132.8,Pacific Contiguous ,1990-02-01,3867.78
