Year	Month	State	Sale_RES	Sale_COM	Sale_IND	Sale_OTH	Sale_ALL
1990	5	MA	1153.45	1460.16	846.28	84.88	3544.77
1990	5	MD	1214.47	774.32	1431.98	55.56	3476.34
1990	5	ME	298.04	198.69	377.3	14.21	888.24
1990	5	MI	1844.43	1639.74	2934.42	103.58	6522.17
1990	5	MN	1064.44	597.5	1913.16	53.12	3628.21
1990	5	MO	1349.66	1420.59	1088.23	65.75	3924.23
1990	5	MS	785.12	526.7	1057.36	52.89	2422.08
1990	5	MT	239.61	214.58	541.37	38.18	1033.74
1990	5	NC	2119.75	1852.91	2612.5	126.91	6712.07
1990	5	ND	206.41	133.49	140.81	39.87	520.58
1990	5	NE	428.02	373.98	376.11	86.1	1264.21
1990	5	NH	254.54	151.46	271.41	8.22	685.64
1990	5	NJ	1340.32	2080.6	1201.04	35.24	4657.2
1990	5	NM	257.39	359.15	392.07	126.4	1135
1990	5	NV	406.64	315.58	500.47	58.54	1281.24
1990	5	NY	2774.08	3557.79	2611.04	888.3	9831.22
1990	5	OH	2570.95	2450.03	6026.34	358.24	11405.55
1990	5	OK	1058.59	874.32	958.41	169.6	3060.92
1990	5	OR	1102.79	877.48	1313.84	77.73	3371.84
1990	5	PA	2650.71	2207.86	3769.15	115.75	8743.47
1990	5	RI	171.44	189.08	112.53	14.8	487.85
1990	5	SC	1195.04	933.58	2148.09	64.5	4341.21
1990	5	SD	197.88	102.79	129.34	25.9	455.91
1990	5	TN	1762.98	925.83	2844.02	78.25	5611.08
1990	5	TX	5273.16	4938.6	6856.87	749.21	17817.83
1990	5	UT	293.23	346.06	498.2	90.38	1227.87
1990	5	VA	1819.63	1586.26	1376.66	635.22	5417.77
1990	5	VT	132.26	113.16	113.41	3.56	362.39
1990	5	WA	2121.64	1324.5	3420.01	317.14	7183.3
1990	5	WI	1206.53	1000.26	1655.02	55.99	3917.8
1990	5	WV	526.58	382.82	873.87	7.15	1790.42
1990	5	WY	128.26	171.55	642.99	8.69	951.49
1990	6	AK	105.54	149.59	35.65	11.24	302.02
1990	6	AL	1858.52	1058.99	2426.14	42.35	5386
1990	6	AR	875.28	552.21	868.91	53.57	2349.97
1990	6	AZ	1322.06	1268.09	834.33	242.32	3666.8
1990	6	CA	5014.9	6998.03	4775.93	725.42	17514.28
1990	6	CO	721.88	1106.37	527.28	65.76	2421.28
1990	6	CT	731.7	855.31	509.54	26.28	2122.83
1990	6	DC	97.1	421.06	265.05	24.77	807.97
1990	6	DE	174.67	183.04	271.44	4.17	633.32
1990	6	FL	6674.71	4621.31	1413.22	404.5	13113.75
1990	6	GA	2807.87	2124.44	2342.67	70.99	7345.98
1990	6	HI	182.83	180.05	321.49	4.77	689.14
1990	6	IA	757.91	569.99	989.2	68.18	2385.27
1990	6	ID	344.77	544.34	630.35	56.51	1575.97
1990	6	IL	2442.78	2589.88	3225.58	621.14	8879.38
1990	6	IN	1626.7	1315.71	3107.9	48.86	6099.16
1990	6	KS	794.03	813.86	722.36	28.06	2358.3
1990	6	KY	1311.61	823.95	2722.06	215.17	5072.79
1990	6	LA	2278.94	1313.16	2229.54	245.35	6067
1990	6	MA	1096.64	1471.99	838.84	82.98	3490.45
1990	6	MD	1256.81	839.82	1538.98	49.8	3685.42
1990	6	ME	280.45	203.92	390.19	13.06	887.62
1990	6	MI	1928.41	1727.76	3082.55	106.18	6844.9
