Income,Year,Month,State
96498.5,1989,12,WA
88643.5,1989,12,WI
25637.5,1989,12,WV
8049.2,1989,12,WY
12776.9,1990,1,AK
64029.4,1990,1,AL
34283.2,1990,1,AR
63546.7,1990,1,AZ
640724.9,1990,1,CA
65348.5,1990,1,CO
86879.2,1990,1,CT
15743.5,1990,1,DC
14301.5,1990,1,DE
256748.4,1990,1,FL
115658.3,1990,1,GA
24725.6,1990,1,HI
48856.4,1990,1,IA
16277.2,1990,1,ID
239993.2,1990,1,IL
98215.6,1990,1,IN
45547.9,1990,1,KS
57308.7,1990,1,KY
64402.2,1990,1,LA
139277.4,1990,1,MA
110704.7,1990,1,MD
21905.7,1990,1,ME
176975.4,1990,1,MI
87584.8,1990,1,MN
91682.6,1990,1,MO
34288.6,1990,1,MS
12314.5,1990,1,MT
1.47,1990,1,NC
10224.9,1990,1,ND
29184.6,1990,1,NE
23048.3,1990,1,NH
191850.9,1990,1,NJ
23069.1,1990,1,NM
24821.0,1990,1,NV
432177.2,1990,1,NY
203214.9,1990,1,OH
50841.8,1990,1,OK
51780.3,1990,1,OR
232129.6,1990,1,PA
20482.8,1990,1,RI
56295.3,1990,1,SC
11430.9,1990,1,SD
81265.6,1990,1,TN
296204.4,1990,1,TX
25793.3,1990,1,UT
129185.8,1990,1,VA
10324.7,1990,1,VT
98476.0,1990,1,WA
90060.1,1990,1,WI
26097.0,1990,1,WV
8231.9,1990,1,WY
12776.9,1990,2,AK
64029.4,1990,2,AL
34283.2,1990,2,AR
63546.7,1990,2,AZ
640724.9,1990,2,CA
65348.5,1990,2,CO
86879.2,1990,2,CT
15743.5,1990,2,DC
14301.5,1990,2,DE
256748.4,1990,2,FL
115658.3,1990,2,GA
24725.6,1990,2,HI
48856.4,1990,2,IA
16277.2,1990,2,ID
239993.2,1990,2,IL
98215.6,1990,2,IN
45547.9,1990,2,KS
57308.7,1990,2,KY
64402.2,1990,2,LA
139277.4,1990,2,MA
110704.7,1990,2,MD
21905.7,1990,2,ME
176975.4,1990,2,MI
87584.8,1990,2,MN
91682.6,1990,2,MO
