Year,Month,State,RES,COM,IND,TRA,OTH,ALL
1990,10,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,11,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,12,KY,"1,480,107","186,216","8,434",,"17,678","1,692,435"
1990,1,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,2,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,3,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,4,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,5,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,6,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,7,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,8,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,9,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,10,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,11,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,12,LA,"1,624,920","188,720","14,488",,"19,155","1,847,283"
1990,1,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,2,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,3,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,4,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,5,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,6,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,7,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,8,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,9,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,10,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,11,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,12,MA,"2,319,946","287,198","13,880",,"14,333","2,635,357"
1990,1,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,2,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,3,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,4,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,5,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,6,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,7,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,8,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,9,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,10,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,11,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,12,MD,"1,731,972","182,923","10,648",,"1,182","1,926,725"
1990,1,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,2,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,3,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,4,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,5,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,6,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,7,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,8,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,9,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,10,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,11,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,12,ME,"568,073","67,236","2,845",,"18,854","657,008"
1990,1,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,2,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,3,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,4,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,5,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,6,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,7,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,8,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,9,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,10,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,11,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,12,MI,"3,661,732","384,526","14,653",,"17,310","4,078,221"
1990,1,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,2,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,3,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,4,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,5,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,6,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,7,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,8,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,9,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,10,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,11,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,12,MN,"1,755,161","196,379","9,581",,"24,301","1,985,422"
1990,1,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
1990,2,MO,"2,143,649","255,089","10,372",,"14,382","2,423,492"
