Year	Month	State	Rev_RES	Rev_COM	Rev_IND	Rev_OTH	Rev_ALL
1991	6	UT	22.75	22.51	20.66	4.22	70.15
1991	6	VA	190.84	107.72	54.45	34.8	387.8
1991	6	VT	9.57	8.72	6.69	0.4	25.39
1991	6	WA	83.52	55.73	79.44	9.32	228.01
1991	6	WI	95.07	68.8	69.16	3.83	236.85
1991	6	WV	35.19	23.39	29.96	0.65	89.19
1991	6	WY	7.55	9.46	21.64	1.08	39.74
1991	7	AK	11.78	15.12	3.16	1.48	31.54
1991	7	AL	162.25	76.64	111.1	2.72	352.71
1991	7	AR	108.72	47.06	53.1	4.66	213.55
1991	7	AZ	160.63	119.72	57.49	12.09	349.94
1991	7	CA	610.15	768.76	440.66	36.2	1855.76
1991	7	CO	56.91	72.64	27.26	12.28	169.08
1991	7	CT	93.84	90.27	40.2	3.85	228.16
1991	7	DC	13.07	41.39	20.63	1.84	76.92
1991	7	DE	25.07	16.81	13.84	0.46	56.19
1991	7	FL	571.68	316.5	71.18	26.74	986.1
1991	7	GA	282.08	160.49	115.56	6.89	565.02
1991	7	HI	17.79	18.83	26.33	0.42	63.38
1991	7	IA	96.75	45.18	45.11	4.39	191.42
1991	7	ID	17.92	25.11	22.81	4.78	70.61
1991	7	IL	451.52	278.81	215.49	53.9	999.71
1991	7	IN	172.72	92.02	126.34	4.4	395.48
1991	7	KS	104.06	64.62	37.23	3.22	209.13
1991	7	KY	118.72	52.81	91.93	11.61	275.08
1991	7	LA	191.75	96.42	97.82	15.06	401.06
1991	7	MA	134.84	161.17	72.27	10.5	378.78
1991	7	MD	188.32	83.34	117.92	5.59	395.18
1991	7	ME	28.35	18.59	23.55	1.7	72.2
1991	7	MI	212.63	161.63	180.09	10.69	565.05
1991	7	MN	103.42	50.2	94.51	5.19	253.32
1991	7	MO	215.13	136.3	67.04	5.54	424.01
1991	7	MS	96.1	47.52	50.6	4.46	198.67
1991	7	MT	11.55	10.69	15.51	1.77	39.52
